BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month
200000000,936.725,57000000,7.3,2445,2020,4
17000000,641.633,35878266,7.1,602,2020,7
75000000,361.237,201858461,7.2,6022,2020,5
90000000,337.346,419074646,7.2,5392,2020,1
42000000,253.895,30234182,7.0,3216,2020,5
200000000,279.47,103181419,7.9,3243,2020,2
85000000,340.193,306766470,7.5,5877,2020,12
200000000,208.138,760098996,6.9,4224,2019,1
100000000,193.69,374733942,7.9,6678,2019,12
150000000,240.765,1450026933,7.3,6234,2019,11
26000000,182.794,34592118,5.8,182,2014,1
175000000,198.355,800526015,8.2,12316,2017,10
300000000,194.476,2046239637,8.3,19901,2018,4
12400000,167.794,17133446,6.8,716,2019,12
15,142.129,4,6.0,181,2020,2
125000000,189.053,796575993,7.0,4824,2019,4
160000000,183.355,1131927996,7.6,8479,2019,6
356000000,171.409,2797800564,8.3,15311,2019,4
85000000,33.45,450717150,7.4,8260,2001,7
28000000,32.067,53181600,6.3,2029,2014,9
100000000,31.996,333535934,5.7,6960,2005,6
150000000,30.797,309979994,6.4,4301,2008,11
2011799,30.546,252207,5.1,1299,2009,4
40000000,34.928,169837010,5.5,2285,2014,12
9000000,26.379,47862188,7.1,2911,2019,3
14000000,161.451,69497587,7.1,5027,2019,11
183000000,133.453,1047612394,7.1,7026,2019,5
260000000,165.654,1656943394,7.2,6900,2019,12
205000000,140.326,307360000,7.5,2053,2020,8
40000000,153.532,203044905,6.6,1151,2019,10
55000000,154.644,326709727,7.4,5796,2019,5
115000000,36.392,286140700,6.5,6424,2013,7
10000000,27.899,167184112,6.2,1842,2018,3
26000000,30.535,67918658,5.6,1634,2010,1
35000000,30.778,68349884,5.8,1442,2002,10
79000000,144.422,473093228,6.9,4889,2019,4
3500000,129.474,325680,6.6,412,2002,10
42000000,137.899,122801777,7.0,2971,2019,9
22000000,26.634,95708457,6.8,4555,2003,9
150000000,24.585,629443428,6.3,6872,2008,1
40000000,19.734,124731534,7.4,1196,2004,10
21000000,26.581,43928932,6.6,3613,2002,2
175000000,131.152,223343452,6.9,2112,2020,1
150000000,134.238,433005346,7.0,4312,2019,3
250000000,131.615,1074144248,6.6,5761,2019,12
67000000,125.706,3100000,5.8,331,2020,8
90000000,132.429,375540831,8.4,8100,2018,6
175000000,135.61,529221154,7.2,4977,2018,11
7000000,109.287,1940234,5.8,112,2019,8
50000000,109.961,91490353,6.4,2198,2019,9
170000000,111.825,386600138,6.4,3003,2019,5
129000000,111.428,517526875,7.8,3985,2019,3
200000000,106.497,252442974,6.1,3981,2019,5
40000000,109.483,146661977,6.4,2006,2019,8
13000000,76.235,137056262,5.9,2602,2018,4
178000000,64.528,791017452,7.4,5363,2018,7
152000000,110.227,1128276090,7.0,10191,2019,6
5000000,113.551,61768190,6.9,969,2015,4
116000000,117.416,855013954,6.7,9649,2018,9
109000000,106.577,107604626,7.5,1913,2020,2
80000000,113.162,100176000,6.9,2663,2018,6
48000000,103.945,73279888,6.7,1617,2019,11
100000000,110.301,171616764,7.8,1675,2019,4
170000000,97.292,1303459585,6.6,8183,2018,6
150000000,106.53,530243742,6.1,4512,2018,9
4000000,103.032,14871307,6.8,31,2020,7
175000000,105.473,582890172,7.6,10242,2018,3
180000000,96.494,853977126,7.6,14722,2017,10
80000000,104.518,363533271,7.0,5632,2019,3
175000000,98.783,880166924,7.4,14993,2017,5
22000000,74.719,114996853,7.7,1973,2020,1
300000000,99.716,657924295,6.2,9688,2017,11
40000000,104.545,175302354,8.1,8722,2016,7
150000000,104.04,895921036,7.8,14173,2005,11
125000000,113.9,976475550,7.9,18371,2001,11
49000000,107.792,116826172,6.8,1049,2019,8
40000000,93.215,62771059,5.6,502,2007,5
130000000,95.712,789804554,8.0,14819,2004,5
11363000,96.697,257591776,8.5,9422,2019,5
70000000,80.716,297718711,7.0,5619,2018,7
149000000,80.768,821847012,7.3,15305,2017,5
110000000,91.059,741547413,7.5,12198,2018,10
125000000,134.69,292351275,6.3,3349,2018,11
200000000,90.108,1346739107,7.4,16133,2018,2
200000000,88.18,1242805359,7.6,9189,2018,6
34000000,96.338,31329947,6.7,1331,2019,6
88000000,88.201,160542134,5.5,3035,2018,5
40000000,86.431,17976667,5.4,450,2009,9
75000000,89.877,111615070,7.6,1201,2019,9
15000000,23.126,146497771,6.2,3015,2013,1
25000000,23.873,123276807,6.6,2176,2005,10
125000000,28.405,544272402,6.4,5506,2004,5
11000000,21.722,252909177,6.6,2717,2008,11
27000000,19.716,71319546,7.2,1387,1989,11
97600000,80.51,225508210,7.9,3513,2019,11
135000000,90.24,587204668,6.9,4874,2013,3
250000000,88.028,933959197,7.7,13414,2009,7
160000000,83.605,1148461807,6.9,9406,2018,7
150000000,96.36,259239658,7.5,8790,2017,4
28000000,91.249,39514713,6.9,1615,1993,7
13500000,83.715,89203432,6.3,1781,2019,11
58000000,74.253,783100000,7.6,23690,2016,9
10000000,71.499,118587880,6.4,3667,2016,6
1000000,51.5,125002821,7.7,1637,2018,12
4000000,82.064,571006128,5.8,8714,2015,11
50000000,76.957,214215889,6.9,3354,2018,11
125000000,79.327,1341511219,8.1,14488,2011,7
250000000,93.985,956019788,7.3,10290,2014,10
68000000,81.158,215863606,6.2,5187,2015,6
165000000,77.409,657827828,7.8,12134,2014,10
120000000,77.123,426245950,6.4,4711,2018,12
16000000,72.63,22799033,6.8,774,2019,11
11000000,68.209,235483004,6.5,5487,1999,9
110000000,76.509,296482446,6.7,7412,2016,9
90000000,79.279,304320254,7.9,6608,1998,6
150000000,77.774,1671713208,6.6,16090,2015,6
250000000,73.457,954305868,7.8,13472,2010,10
97000000,65.785,619021436,7.8,14861,2017,2
178000000,68.856,543934787,6.5,9861,2016,5
165000000,72.038,677700000,7.4,15839,2016,10
55000000,69.679,368307760,6.6,5556,2018,1
237000000,80.918,2787965087,7.5,22159,2009,10
20000000,69.995,246941965,6.6,5594,2019,1
13000000,58.859,319494638,7.5,7540,2013,3
250000000,63.194,747862775,7.5,11791,2014,5
18000000,62.876,3153,4.2,110,2019,8
185000000,65.354,1004558444,8.5,23458,2008,7
132000000,71.332,373552094,6.5,2920,2014,11
3000000,79.541,89328627,6.2,6049,2013,5
87500000,63.394,132807427,6.1,4263,2019,9
33000000,74.088,47088457,6.8,941,2019,10
40000000,76.277,171539887,7.2,8331,2017,8
150000000,58.917,290061297,6.1,3274,2018,3
34000000,88.139,348319861,7.1,12605,2014,10
125000000,62.526,346864462,6.7,2619,2016,10
250000000,68.926,1238764765,6.9,7681,2017,12
35000000,67.477,701796444,7.2,14217,2017,6
40000000,81.85,43070915,6.3,5988,2018,2
110000000,71.242,295238201,6.4,7958,2015,3
50000000,70.698,216909830,5.6,2133,2017,7
60000000,75.058,124596398,7.7,4365,2009,5
135000000,65.204,467989645,6.6,3996,2018,12
4000000,56.472,427399,6.0,669,2019,7
60000000,76.652,484409218,7.6,11313,2001,5
165000000,68.43,675120017,8.3,23917,2014,5
4000000,96.778,41063475,8.3,7996,2017,1
23934823,68.271,2078370,6.4,92,2019,8
12000000,51.917,22244207,8.1,923,1982,7
9000000,67.735,111928365,6.6,4677,2014,7
40000000,65.77,458863600,6.4,12211,2014,7
75000000,71.358,527068851,7.0,5758,2007,7
150000000,72.607,928760770,7.1,8123,2004,5
22000000,59.477,365550119,5.8,4195,2018,5
250000000,70.786,1405403694,7.3,16636,2015,4
20000000,65.869,67200000,6.3,1016,1998,3
8820000,72.368,87547518,7.7,4088,2016,7
140000000,65.176,622674139,7.0,8954,2018,4
84000000,74.269,275650703,5.9,2882,2002,6
48000000,64.861,325771424,6.2,4151,2014,12
3500000,62.201,24946533,7.2,545,1978,12
97000000,59.283,232380243,6.0,5997,2017,9
185000000,68.68,566652812,6.4,7495,2017,8
52000000,49.731,894027543,8.0,12031,2018,10
200000000,59.76,863756051,7.6,15518,2017,4
36,65.122,18,5.1,441,2019,6
250000000,60.955,1153296293,7.4,16916,2016,4
120000000,62.057,221600160,6.0,3129,2017,10
15000000,51.879,5600000,6.0,218,1996,8
4500000,60.067,3606395,6.0,654,2009,7
40000000,68.164,117195061,7.4,5795,2005,12
100000000,60.385,83672673,6.1,2990,2018,11
51000000,60.58,35808437,6.3,1725,2018,8
200000000,55.874,653355901,6.9,7321,2018,11
120000000,73.038,829000000,6.4,6522,2012,11
111000000,59.641,295038508,7.2,1964,2017,9
7000,64.493,545436,6.9,1374,2004,8
150000000,71.586,1274219009,7.3,12420,2013,11
145000000,65.327,521170825,6.8,3785,2016,1
50000000,71.947,44664690,5.4,2062,2019,10
37000000,71.879,393616788,6.2,9700,2008,11
200000000,52.142,1214811252,6.9,16717,2013,4
80000000,50.301,473226958,6.8,4022,2015,9
200000000,60.779,708962323,6.4,8718,2014,4
14000000,59.231,8621288,6.6,1417,2020,11
550000,57.596,59754601,6.4,1696,1980,9
25000000,58.372,5958315,5.6,606,2019,3
62000000,58.4,288175335,7.1,5152,2018,10
19000000,52.993,381109762,8.3,13919,1985,3
90000000,56.59,962102237,6.8,9848,2017,9
180000000,60.479,407602906,6.8,9040,2013,11
34000000,54.217,226945087,7.5,10867,2017,6
24000000,37.658,99965753,6.0,2210,2007,11
58800000,47.985,542307423,7.4,9569,2014,11
29000000,52.438,26925979,6.6,357,2020,9
160000000,60.975,1263521126,7.0,12856,2017,3
100000000,49.868,525573161,7.4,11814,2017,7
125000000,62.38,477200000,5.9,5140,2014,7
175000000,38.95,746846894,5.9,16385,2016,3
110000000,73.269,473990832,6.2,6177,2015,5
15000000,47.764,306515884,6.5,4021,2017,3
68000000,56.31,211817906,7.5,8423,2014,10
88000000,63.809,243637091,5.7,5578,2015,7
69000000,50.929,177856751,6.1,5983,2017,12
12000000,55.879,32726956,6.9,189,2012,6
12000000,52.503,100000000,6.6,4065,2012,1
170000000,49.216,215832199,6.7,3167,2019,3
5000000,48.936,86362372,5.4,955,2014,1
11000000,57.094,775398007,8.2,14416,1977,5
29900000,54.255,44400000,7.1,369,2019,8
125000000,69.375,752100229,6.8,11948,2014,11
165000000,60.332,752600867,6.2,4955,2010,5
60000000,40.373,286801374,8.5,11063,1999,10
20000000,46.506,208588,5.9,913,2015,3
60000000,45.455,59213931,5.6,1595,2019,7
40000000,63.927,191540586,8.0,2937,2019,12
130000000,59.988,348807090,6.5,2390,2018,12
10000000,54.975,18610260,5.6,1302,2007,10
200000000,52.561,2187463944,7.9,17848,1997,11
30000000,62.076,231252591,6.4,1987,2019,6
180000000,60.37,809342332,7.4,14542,2016,11
140000000,48.913,585174222,7.6,19202,2008,4
20000000,51.722,41627431,6.7,1567,2008,4
30000000,54.239,287553595,6.2,3420,2001,10
200000000,51.039,1065659812,7.3,11475,2006,6
95000000,51.531,877244782,6.3,5582,2012,6
139000000,72.418,821708551,7.2,12456,2002,1
40000000,50.541,320392818,7.2,5383,2016,5
155000000,58.352,440603537,5.9,6319,2015,6
145000000,50.323,609123048,7.7,6956,2014,9
200000000,52.198,1332539889,6.9,11122,2017,12
68000000,60.081,698491347,6.2,6342,2010,6
94000000,49.077,274650803,6.3,5634,2018,5
250000000,53.465,873634919,5.9,13906,2016,3
258000000,59.896,890871626,6.2,9044,2007,1
30000000,54.883,373554033,7.9,13021,1995,10
18300000,47.149,112790210,7.9,158,2018,1
20000000,50.065,92924405,7.3,1266,2017,3
140000000,56.942,655011224,7.7,15060,2003,9
22000000,49.592,851517,5.9,445,2010,3
230000000,46.48,794861794,6.6,8649,2017,5
20000000,53.837,121463226,7.1,4630,2007,3
105000000,52.84,408579038,6.0,3147,2016,6
35000000,48.593,469310836,7.3,12552,2009,2
93000000,60.037,871368364,8.3,17845,2001,12
140000000,46.672,268031828,5.8,3448,2014,3
175000000,64.972,857611174,7.9,15533,2015,9
15000000,50.283,15200000,6.4,283,2019,1
165000000,49.847,494878759,7.8,9417,2010,10
150000000,65.267,1023784195,7.7,12227,2016,11
110000000,65.657,712171856,6.1,6459,2011,11
90000000,58.3,146936910,5.9,2697,2015,10
79000000,54.544,926287400,8.3,15411,2002,12
150000000,60.401,378858340,7.5,17068,2015,5
190000000,59.139,1515047671,7.3,7839,2015,1
59000000,54.111,383257136,7.3,9358,2002,10
104000000,53.662,410902662,7.0,7074,2017,9
35000000,51.317,75836683,6.8,2039,2018,6
7000000,53.707,3719383,6.3,707,2017,3
62000000,50.105,102084362,6.5,3026,2018,7
11936735,58.435,66925842,7.7,148,2019,11
80000000,46.964,660998756,6.6,7191,2006,3
250000000,51.042,1081041287,7.7,16756,2012,7
35000000,48.66,92503612,6.0,865,2018,11
250000000,53.236,1021103568,7.3,14033,2012,11
60000000,37.623,205754447,6.1,3301,2016,2
25000000,40.135,48818723,6.6,1253,2018,6
40000000,48.377,309232797,7.9,5718,2019,11
50000000,53.774,234989584,6.2,3296,2012,4
50000000,43.029,351266433,6.7,1050,2018,7
18000000,54.733,17643857,6.8,487,2019,10
100000000,46.209,190514361,6.7,1258,2019,1
1200000,59.23,103911669,7.4,6047,2004,1
19000000,54.27,274925095,8.5,10262,2001,7
165000000,49.222,471222889,7.3,9315,2012,1
11000000,41.266,104931801,8.1,9590,1979,5
800000,47.263,14000000,5.6,564,1984,9
5000000,42.87,54418872,6.9,1757,2015,8
150000000,45.547,449326618,6.8,15470,2011,4
170000000,44.697,644571402,6.6,12502,2013,10
200000000,45.788,623933331,6.8,15030,2010,4
35000000,38.35,67131266,6.0,1917,2018,1
150000000,48.675,488533726,7.1,6327,2017,11
177200000,52.878,225874228,6.6,5318,2017,7
300000000,44.734,961000000,7.2,10250,2007,5
140000000,43.086,150680864,5.6,2953,2016,2
40000000,47.004,31672678,6.6,1253,2018,10
50000000,54.082,709827462,6.0,6660,2009,11
20000000,56.481,207945075,7.8,7987,2016,1
217000000,46.714,605425157,6.0,4119,2017,6
45000000,63.058,763455561,8.2,13069,1994,6
108000000,50.027,630161890,7.7,14719,2015,9
61000000,58.009,312296056,6.7,7538,2015,9
200000000,51.595,1066969703,7.8,10713,2010,6
3500000,44.03,7766240,6.1,481,2007,9
85000000,37.245,252712101,7.5,5170,1997,6
5000000,32.402,23507567,6.0,272,2016,1
130000000,34.345,321885765,6.9,4638,2010,10
95000000,24.481,190213455,5.9,1608,2000,4
60000000,24.931,256697520,6.4,2691,2004,7
14000000,36.88,10076790,6.4,942,2014,10
6400000,46.629,78371200,7.6,8722,1984,10
50000000,47.322,97437106,7.5,1674,2014,1
2000000,46.573,2006704,5.0,314,2018,7
30000000,46.414,140161792,6.8,1685,2004,11
