BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,TAGLINE,release_year,release_month,New_Budget,New_Revenue,New_Vote_Avg
17000000,641.633,35878266,7.1,602,Escape The Apocalypse,2020,7,18020000,38030961,7
75000000,361.237,201858461,7.2,6022,Mind Over Mayhem,2020,5,79500000,213969968,7
90000000,337.346,419074646,7.2,5392,Ride together. Die together.,2020,1,95400000,444219124,7
42000000,253.895,30234182,7.0,3216,Being a superhero is in his blood,2020,5,44520000,32048232,7
200000000,279.47,103181419,7.9,3243,Their quest begineth.,2020,2,212000000,109372304,8
85000000,340.193,306766470,7.5,5877,A Whole New Speed of Hero,2020,12,90100000,325172458,8
100000000,193.69,374733942,7.9,6678,Time is the enemy,2019,12,107920000,404412870,8
150000000,240.765,1450026933,7.3,6234,The past is not what it seems.,2019,11,161880000,1564869066,7
26000000,182.794,34592118,5.8,182,The truth is in you,2014,1,30243200,40237551,6
175000000,198.355,800526015,8.2,12316,The celebration of a lifetime,2017,10,197575000,903793870,8
300000000,194.476,2046239637,8.3,19901,An entire universe. Once and for all.,2018,4,331650000,2262117918,8
12400000,167.794,17133446,6.8,716,The most beloved fairy tale comes to life,2019,12,13382080,18490414,7
160000000,183.355,1131927996,7.6,8479,It’s time to step up.,2019,6,172672000,1221576693,8
356000000,171.409,2797800564,8.3,15311,Part of the journey is the end.,2019,4,384195200,3019386368,8
85000000,33.45,450717150,7.4,8260,Are you in or out?,2001,7,133824000,709609080,7
28000000,32.067,53181600,6.3,2029,Some people are afraid of all the wrong things,2014,9,32569600,61860837,6
100000000,31.996,333535934,5.7,6960,4 times the action. 4 times the adventure. 4 times the fantastic.,2005,6,143520000,478690772,6
150000000,30.797,309979994,6.4,4301,Fully Awesome. Ridonculous. Let It Begin.,2008,11,196095000,405236846,6
40000000,34.928,169837010,5.5,2285,The Second Parts Are More Fools,2014,12,46528000,197554410,6
9000000,26.379,47862188,7.1,2911,Let the festivities begin.,2019,3,9712800,51652873,7
14000000,161.451,69497587,7.1,5027,"After your first, life is never the same.",2019,11,15108800,75001795,7
183000000,133.453,1047612394,7.1,7026,Choose Wisely.,2019,5,197493600,1130583295,7
260000000,165.654,1656943394,7.2,6900,The King has Returned.,2019,12,280592000,1788173310,7
205000000,140.326,307360000,7.5,2053,Time runs out.,2020,8,217300000,325801600,8
40000000,153.532,203044905,6.6,1151,Think your family is weird?,2019,10,43168000,219126061,7
55000000,154.644,326709727,7.4,5796,The Grace Period Is Over,2019,5,59356000,352585137,7
115000000,36.392,286140700,6.5,6424,He can save us all.,2013,7,135734500,337731868,6
10000000,27.899,167184112,6.2,1842,Fear comes home.,2018,3,11055000,184822035,6
26000000,30.535,67918658,5.6,1634,"When the last angel falls, the fight for mankind begins.",2010,1,32843200,85794848,6
35000000,30.778,68349884,5.8,1442,Sea Evil,2002,10,53588500,104650507,6
79000000,144.422,473093228,6.9,4889,You'll Float Again,2019,4,85256800,510562211,7
22000000,26.634,95708457,6.8,4555,An immortal battle for supremacy.,2003,9,33156200,144242215,7
150000000,24.585,629443428,6.3,6872,Bad Behavior. Bad Attitude. Real Hero.,2008,1,196095000,822871393,6
40000000,19.734,124731534,7.4,1196,The extraordinary life story of Ray Charles.,2004,10,58948000,183816861,7
21000000,26.581,43928932,6.6,3613,Rules are made to be broken.,2002,2,32153099,67259587,7
175000000,131.152,223343452,6.9,2112,He's just not a people person.,2020,1,185500000,236744059,7
150000000,134.238,433005346,7.0,4312,Partner Up!,2019,3,161880000,467299369,7
250000000,131.615,1074144248,6.6,5761,Every generation has a legend,2019,12,269800000,1159216472,7
67000000,125.706,3100000,5.8,331,It's time to face your demons,2020,8,71020000,3286000,6
90000000,132.429,375540831,8.4,8100,More Than One Wears the Mask,2018,6,99495000,415160388,8
175000000,135.61,529221154,7.2,4977,Who broke the internet?,2018,11,193462500,585053985,7
7000000,109.287,1940234,5.8,112,Discover your hidden power.,2019,8,7554400,2093900,6
50000000,109.961,91490353,6.4,2198,Everyone has one more fight in them,2019,9,53960000,98736388,6
170000000,111.825,386600138,6.4,3003,Long live the king.,2019,5,183464000,417218868,6
129000000,111.428,517526875,7.8,3985,The friendship of a lifetime,2019,3,139216800,558515003,8
200000000,106.497,252442974,6.1,3981,The phoenix will rise,2019,5,215840000,272436457,6
40000000,109.483,146661977,6.4,2006,Loyalty is under fire,2019,8,43168000,158277605,6
13000000,76.235,137056262,5.9,2602,A Nation Reborn,2018,4,14371499,151515697,6
178000000,64.528,791017452,7.4,5363,Some Missions Are Not A Choice,2018,7,196779000,874469793,7
152000000,110.227,1128276090,7.0,10191,Higher. Further. Faster.,2019,6,164038400,1217635556,7
116000000,117.416,855013954,6.7,9649,The world has enough Superheroes.,2018,9,128237999,945217926,7
