BUDGET,POPULARITY,REVENUE,RUNTIME,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month,New_Budget,New_Revenue,New_Vote_Avg
200000000,936.725,57000000,115.0,7.3,2445,2020,4,212000000,60420000,7
17000000,641.633,35878266,114.0,7.1,602,2020,7,18020000,38030961,7
75000000,361.237,201858461,109.0,7.2,6022,2020,5,79500000,213969968,7
90000000,337.346,419074646,124.0,7.2,5392,2020,1,95400000,444219124,7
42000000,253.895,30234182,110.0,7.0,3216,2020,5,44520000,32048232,7
200000000,279.47,103181419,102.0,7.9,3243,2020,2,212000000,109372304,8
85000000,340.193,306766470,99.0,7.5,5877,2020,12,90100000,325172458,8
200000000,208.138,760098996,137.0,6.9,4224,2019,1,215840000,820298836,7
100000000,193.69,374733942,119.0,7.9,6678,2019,12,107920000,404412870,8
150000000,240.765,1450026933,104.0,7.3,6234,2019,11,161880000,1564869066,7
26000000,182.794,34592118,128.0,5.8,182,2014,1,30243200,40237551,6
175000000,198.355,800526015,105.0,8.2,12316,2017,10,197575000,903793870,8
300000000,194.476,2046239637,149.0,8.3,19901,2018,4,331650000,2262117918,8
12400000,167.794,17133446,120.0,6.8,716,2019,12,13382080,18490414,7
15,142.129,4,105.0,6.0,181,2020,2,15,4,6
125000000,189.053,796575993,123.0,7.0,4824,2019,4,134900000,859664811,7
160000000,183.355,1131927996,129.0,7.6,8479,2019,6,172672000,1221576693,8
356000000,171.409,2797800564,181.0,8.3,15311,2019,4,384195200,3019386368,8
85000000,33.45,450717150,116.0,7.4,8260,2001,7,133824000,709609080,7
28000000,32.067,53181600,113.0,6.3,2029,2014,9,32569600,61860837,6
100000000,31.996,333535934,106.0,5.7,6960,2005,6,143520000,478690772,6
150000000,30.797,309979994,98.0,6.4,4301,2008,11,196095000,405236846,6
2011799,30.546,252207,92.0,5.1,1299,2009,4,2532653,317503,5
40000000,34.928,169837010,110.0,5.5,2285,2014,12,46528000,197554410,6
9000000,26.379,47862188,148.0,7.1,2911,2019,3,9712800,51652873,7
14000000,161.451,69497587,106.0,7.1,5027,2019,11,15108800,75001795,7
183000000,133.453,1047612394,128.0,7.1,7026,2019,5,197493600,1130583295,7
260000000,165.654,1656943394,118.0,7.2,6900,2019,12,280592000,1788173310,7
205000000,140.326,307360000,150.0,7.5,2053,2020,8,217300000,325801600,8
40000000,153.532,203044905,86.0,6.6,1151,2019,10,43168000,219126061,7
55000000,154.644,326709727,131.0,7.4,5796,2019,5,59356000,352585137,7
115000000,36.392,286140700,109.0,6.5,6424,2013,7,135734500,337731868,6
10000000,27.899,167184112,118.0,6.2,1842,2018,3,11055000,184822035,6
26000000,30.535,67918658,100.0,5.6,1634,2010,1,32843200,85794848,6
35000000,30.778,68349884,91.0,5.8,1442,2002,10,53588500,104650507,6
79000000,144.422,473093228,169.0,6.9,4889,2019,4,85256800,510562211,7
3500000,129.474,325680,92.0,6.6,412,2002,10,5358850,498648,7
42000000,137.899,122801777,99.0,7.0,2971,2019,9,45326400,132527677,7
22000000,26.634,95708457,121.0,6.8,4555,2003,9,33156200,144242215,7
150000000,24.585,629443428,92.0,6.3,6872,2008,1,196095000,822871393,6
40000000,19.734,124731534,152.0,7.4,1196,2004,10,58948000,183816861,7
21000000,26.581,43928932,92.0,6.6,3613,2002,2,32153099,67259587,7
175000000,131.152,223343452,101.0,6.9,2112,2020,1,185500000,236744059,7
150000000,134.238,433005346,105.0,7.0,4312,2019,3,161880000,467299369,7
250000000,131.615,1074144248,142.0,6.6,5761,2019,12,269800000,1159216472,7
67000000,125.706,3100000,94.0,5.8,331,2020,8,71020000,3286000,6
90000000,132.429,375540831,117.0,8.4,8100,2018,6,99495000,415160388,8
175000000,135.61,529221154,112.0,7.2,4977,2018,11,193462500,585053985,7
7000000,109.287,1940234,110.0,5.8,112,2019,8,7554400,2093900,6
50000000,109.961,91490353,89.0,6.4,2198,2019,9,53960000,98736388,6
170000000,111.825,386600138,132.0,6.4,3003,2019,5,183464000,417218868,6
129000000,111.428,517526875,104.0,7.8,3985,2019,3,139216800,558515003,8
200000000,106.497,252442974,114.0,6.1,3981,2019,5,215840000,272436457,6
40000000,109.483,146661977,122.0,6.4,2006,2019,8,43168000,158277605,6
13000000,76.235,137056262,97.0,5.9,2602,2018,4,14371499,151515697,6
178000000,64.528,791017452,147.0,7.4,5363,2018,7,196779000,874469793,7
152000000,110.227,1128276090,124.0,7.0,10191,2019,6,164038400,1217635556,7
5000000,113.551,61768190,93.0,6.9,969,2015,4,5728000,70761638,7
116000000,117.416,855013954,112.0,6.7,9649,2018,9,128237999,945217926,7
109000000,106.577,107604626,100.0,7.5,1913,2020,2,115540000,114060903,8
80000000,113.162,100176000,97.0,6.9,2663,2018,6,88440000,110744568,7
48000000,103.945,73279888,118.0,6.7,1617,2019,11,51801600,79083655,7
100000000,110.301,171616764,102.0,7.8,1675,2019,4,107920000,185208811,8
170000000,97.292,1303459585,129.0,6.6,8183,2018,6,187935000,1440974571,7
150000000,106.53,530243742,113.0,6.1,4512,2018,9,165825000,586184456,6
4000000,103.032,14871307,0.0,6.8,31,2020,7,4240000,15763585,7
175000000,105.473,582890172,140.0,7.6,10242,2018,3,193462500,644385085,8
180000000,96.494,853977126,131.0,7.6,14722,2017,10,203220000,964140175,8
80000000,104.518,363533271,132.0,7.0,5632,2019,3,86336000,392325106,7
175000000,98.783,880166924,133.0,7.4,14993,2017,5,197575000,993708457,7
22000000,74.719,114996853,113.0,7.7,1973,2020,1,23320000,121896664,8
300000000,99.716,657924295,120.0,6.2,9688,2017,11,338700000,742796529,6
40000000,104.545,175302354,139.0,8.1,8722,2016,7,45732000,200423181,8
150000000,104.04,895921036,157.0,7.8,14173,2005,11,215280000,1285825870,8
125000000,113.9,976475550,152.0,7.9,18371,2001,11,196800000,1537363105,8
49000000,107.792,116826172,102.0,6.8,1049,2019,8,52880800,126078804,7
40000000,93.215,62771059,99.0,5.6,502,2007,5,53784000,84401965,6
130000000,95.712,789804554,141.0,8.0,14819,2004,5,191581000,1163934971,8
11363000,96.697,257591776,133.0,8.5,9422,2019,5,12262949,277993044,8
70000000,80.716,297718711,111.0,7.0,5619,2018,7,77385000,329128035,7
149000000,80.768,821847012,141.0,7.3,15305,2017,5,168221000,927865276,7
110000000,91.059,741547413,119.0,7.5,12198,2018,10,121604999,819780665,8
125000000,134.69,292351275,102.0,6.3,3349,2018,11,138187500,323194334,6
200000000,90.108,1346739107,134.0,7.4,16133,2018,2,221100000,1488820082,7
200000000,88.18,1242805359,118.0,7.6,9189,2018,6,221100000,1373921324,8
34000000,96.338,31329947,119.0,6.7,1331,2019,6,36692800,33811278,7
88000000,88.201,160542134,107.0,5.5,3035,2018,5,97284000,177479329,6
40000000,86.431,17976667,101.0,5.4,450,2009,9,50356000,22630826,5
75000000,89.877,111615070,92.0,7.6,1201,2019,9,80940000,120454983,8
15000000,23.126,146497771,100.0,6.2,3015,2013,1,17704500,172911319,6
25000000,23.873,123276807,97.0,6.6,2176,2005,10,35880000,176926873,7
125000000,28.405,544272402,124.0,6.4,5506,2004,5,184212500,802094238,6
11000000,21.722,252909177,117.0,6.6,2717,2008,11,14380299,330628167,7
97600000,80.51,225508210,152.0,7.9,3513,2019,11,105329920,243368460,8
135000000,90.24,587204668,98.0,6.9,4874,2013,3,159340500,693077669,7
250000000,88.028,933959197,153.0,7.7,13414,2009,7,314725000,1175761233,8
160000000,83.605,1148461807,144.0,6.9,9406,2018,7,176880000,1269624527,7
150000000,96.36,259239658,164.0,7.5,8790,2017,4,169350000,292681573,8
28000000,91.249,39514713,96.0,6.9,1615,1993,7,54112800,76366134,7
13500000,83.715,89203432,88.0,6.3,1781,2019,11,14569200,96268343,6
58000000,74.253,783100000,108.0,7.6,23690,2016,9,66311400,895318230,8
10000000,71.499,118587880,105.0,6.4,3667,2016,6,11433000,135581523,6
1000000,51.5,125002821,101.0,7.7,1637,2018,12,1105500,138190618,8
4000000,82.064,571006128,125.0,5.8,8714,2015,11,4582400,654144620,6
50000000,76.957,214215889,130.0,6.9,3354,2018,11,55275000,236815665,7
125000000,79.327,1341511219,130.0,8.1,14488,2011,7,155350000,1667230142,8
250000000,93.985,956019788,144.0,7.3,10290,2014,10,290800000,1112042217,7
68000000,81.158,215863606,115.0,6.2,5187,2015,6,77900800,247293347,6
165000000,77.409,657827828,102.0,7.8,12134,2014,10,191928000,765185329,8
120000000,77.123,426245950,107.0,6.4,4711,2018,12,132659999,471214897,6
16000000,72.63,22799033,93.0,6.8,774,2019,11,17267200,24604716,7
11000000,68.209,235483004,95.0,6.5,5487,1999,9,18296300,391678880,6
110000000,76.509,296482446,127.0,6.7,7412,2016,9,125763000,338968380,7
90000000,79.279,304320254,88.0,7.9,6608,1998,6,152019000,514027341,8
150000000,77.774,1671713208,124.0,6.6,16090,2015,6,171840000,1915114651,7
250000000,73.457,954305868,146.0,7.8,13472,2010,10,315800000,1205479172,8
97000000,65.785,619021436,137.0,7.8,14861,2017,2,109513000,698875201,8
178000000,68.856,543934787,144.0,6.5,9861,2016,5,203507400,621880641,6
165000000,72.038,677700000,115.0,7.4,15839,2016,10,188644500,774814410,7
55000000,69.679,368307760,105.0,6.6,5556,2018,1,60802499,407164228,7
237000000,80.918,2787965087,162.0,7.5,22159,2009,10,298359300,3509769248,8
20000000,69.995,246941965,129.0,6.6,5594,2019,1,21584000,266499768,7
13000000,58.859,319494638,112.0,7.5,7540,2013,3,15343899,377099521,8
250000000,63.194,747862775,132.0,7.5,11791,2014,5,290800000,869913979,8
18000000,62.876,3153,88.0,4.2,110,2019,8,19425600,3402,4
185000000,65.354,1004558444,152.0,8.5,23458,2008,7,241850499,1313259253,8
132000000,71.332,373552094,92.0,6.5,2920,2014,11,153542400,434515795,6
3000000,79.541,89328627,86.0,6.2,6049,2013,5,3540899,105434578,6
87500000,63.394,132807427,123.0,6.1,4263,2019,9,94430000,143325775,6
33000000,74.088,47088457,99.0,6.8,941,2019,10,35613600,50817862,7
40000000,76.277,171539887,122.0,7.2,8331,2017,8,45160000,193668532,7
150000000,58.917,290061297,111.0,6.1,3274,2018,3,165825000,320662763,6
34000000,88.139,348319861,113.0,7.1,12605,2014,10,39548800,405165662,7
125000000,62.526,346864462,92.0,6.7,2619,2016,10,142912500,396570139,7
250000000,68.926,1238764765,136.0,6.9,7681,2017,12,282250000,1398565419,7
35000000,67.477,701796444,135.0,7.2,14217,2017,6,39515000,792328185,7
40000000,81.85,43070915,115.0,6.3,5988,2018,2,44220000,47614896,6
110000000,71.242,295238201,119.0,6.4,7958,2015,3,126016000,338224883,6
50000000,70.698,216909830,86.0,5.6,2133,2017,7,56450000,244891198,6
60000000,75.058,124596398,100.0,7.7,4365,2009,5,75534000,156854405,8
135000000,65.204,467989645,114.0,6.6,3996,2018,12,149242500,517362552,7
4000000,56.472,427399,97.0,6.0,669,2019,7,4316800,461249,6
60000000,76.652,484409218,90.0,7.6,11313,2001,5,94464000,762653872,8
165000000,68.43,675120017,169.0,8.3,23917,2014,5,191928000,785299603,8
